AP_TYPE,Name of Access Point,Office Type:,AP_Attached_Facility,Attach_Facility Name,Street Address,City or town,CHIEFDOM_N,REGION,DISTRICT,Products Offered,Services offered,Status,Agent Code/ Branch Code,Longitude,Lattitude,Photo
Mobile Money,Afrimoney,Retailer Agent,,,Mends Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,77756609,-13.23508,8.47721,
Mobile Money,Afrimoney,Retailer Agent,,,22 Wesley Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,77946990,-13.2345,8.48336,
Mobile Money,Afrimoney,Retailer Agent,,,22 Charlotte Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,88367227,-13.23366,8.48864,
Mobile Money,Afrimoney,Retailer Agent,,,31 Garrison Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,80774382,-13.23335,8.48758,
Mobile Money,Afrimoney,Retailer Agent,,,33 Garrison Street By PZ,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,80022035,-13.23322,8.48711,
Mobile Money,Afrimoney,Retailer Agent,,,23 Howe Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,77876865,-13.23311,8.489,
Mobile Money,Afrimoney,Retailer Agent,,,Off Howe Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,30144470,-13.2331,8.48909,
Mobile Money,Afrimoney,Retailer Agent,,,Howe Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,88646792,-13.23304,8.48897,
Mobile Money,Afrimoney,Master Agent,,,11 Siaka Steven Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,99161469,-13.23247,8.48963,
Mobile Money,Afrimoney,Retailer Agent,,,11 Shaka Steven St,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,77499429,-13.23236,8.48966,
Mobile Money,Afrimoney,Retailer Agent,,,11 Shaka Steven St,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,33335991,-13.2323,8.48963,
Mobile Money,Afrimoney,Retailer Agent,,,12 Shaka Steven St,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,88650785,-13.2323,8.48961,
Mobile Money,Afrimoney,Retailer Agent,,,11 Shaka Staven Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,80144260,-13.2323,8.48958,
Mobile Money,Afrimoney,Retailer Agent,,,11 Shaka Steven Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,33335991,-13.23226,8.48963,
Mobile Money,Afrimoney,Retailer Agent,,,11 Shiaka Steven Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,88650785,-13.23226,8.48963,
Mobile Money,Afrimoney,Retailer Agent,,,13 Wilberforce Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,77399050,-13.23223,8.4898,
Mobile Money,Afrimoney,Retailer Agent,,,11 Siaka Steven Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,80144260,-13.23222,8.48963,
Mobile Money,Afrimoney,Retailer Agent,,,PZ,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,30000141,-13.23219,8.48853,
Mobile Money,Afrimoney,Retailer Agent,,,21 Wilberforce Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,88151291,-13.23198,8.48954,
Mobile Money,Afrimoney,Retailer Agent,,,21 Wilberforce Street,Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,80686877,-13.23197,8.48954,
Mobile Money,Afrimoney,Retailer Agent,,,"21 Wilberforce Street,Freetown",Freetown,CENTRAL I,WESTERN,WESTERN URBAN,,,,99434474,-13.23194,8.48952,
